motif	tf	dbd_family
THRB_nuclearreceptor_2	THRB	nuclearreceptor
THRB_nuclearreceptor_3	THRB	nuclearreceptor
VDR_nuclearreceptor_1	VDR	nuclearreceptor
Vdr.mouse_nuclearreceptor_1	Vdr.mouse	nuclearreceptor
TP63_p53l_1	TP63	p53l
Tp53.mouse_p53l_1	Tp53.mouse	p53l
Tp53.mouse_p53l_2	Tp53.mouse	p53l
Tp53.mouse_p53l_3	Tp53.mouse	p53l
Tp73.mouse_p53l_1	Tp73.mouse	p53l
GMEB2_SAND_4	GMEB2	SAND
PITX1_homeodomain_3	PITX1	homeodomain
Egr1.mouse_C2H2_1	Egr1.mouse	C2H2
MTF1_C2H2_1	MTF1	C2H2
PRDM4_C2H2_1	PRDM4	C2H2
ZBTB49_C2H2_1	ZBTB49	C2H2
ZNF232_C2H2_1	ZNF232	C2H2
ZNF282_C2H2_1	ZNF282	C2H2
ZNF435_C2H2_1	ZNF435	C2H2
ZNF713_C2H2_1	ZNF713	C2H2
CPEB1_RRM_1	CPEB1	RRM
E2F1_E2F_1	E2F1	E2F
E2F1_E2F_2	E2F1	E2F
E2F2_E2F_3	E2F2	E2F
E2F4_E2F_1	E2F4	E2F
E2F4_E2F_2	E2F4	E2F
E2F8_E2F_1	E2F8	E2F
SOX10_HMG_1	SOX10	HMG
SOX10_HMG_2	SOX10	HMG
SOX10_HMG_3	SOX10	HMG
SOX10_HMG_4	SOX10	HMG
SOX10_HMG_5	SOX10	HMG
SOX14_HMG_1	SOX14	HMG
SOX14_HMG_2	SOX14	HMG
SOX14_HMG_3	SOX14	HMG
SOX15_HMG_1	SOX15	HMG
SOX15_HMG_2	SOX15	HMG
SOX15_HMG_3	SOX15	HMG
SOX18_HMG_1	SOX18	HMG
SOX18_HMG_2	SOX18	HMG
SOX18_HMG_3	SOX18	HMG
SOX21_HMG_1	SOX21	HMG
SOX21_HMG_2	SOX21	HMG
SOX21_HMG_3	SOX21	HMG
SOX21_HMG_4	SOX21	HMG
SOX2_HMG_1	SOX2	HMG
SOX2_HMG_2	SOX2	HMG
SOX2_HMG_3	SOX2	HMG
SOX2_HMG_4	SOX2	HMG
SOX2_HMG_5	SOX2	HMG
SOX2_HMG_6	SOX2	HMG
SOX4_HMG_1	SOX4	HMG
SOX7_HMG_1	SOX7	HMG
SOX7_HMG_2	SOX7	HMG
SOX7_HMG_3	SOX7	HMG
SOX8_HMG_1	SOX8	HMG
SOX8_HMG_2	SOX8	HMG
SOX8_HMG_3	SOX8	HMG
SOX8_HMG_4	SOX8	HMG
SOX8_HMG_5	SOX8	HMG
SOX8_HMG_6	SOX8	HMG
SOX8_HMG_7	SOX8	HMG
SOX8_HMG_8	SOX8	HMG
SOX9_HMG_2	SOX9	HMG
SOX9_HMG_3	SOX9	HMG
SOX9_HMG_4	SOX9	HMG
SOX9_HMG_5	SOX9	HMG
SOX9_HMG_6	SOX9	HMG
SOX9_HMG_7	SOX9	HMG
SRY_HMG_1	SRY	HMG
SRY_HMG_2	SRY	HMG
SRY_HMG_3	SRY	HMG
SRY_HMG_4	SRY	HMG
Sox10.mouse_HMG_1	Sox10.mouse	HMG
Sox10.mouse_HMG_2	Sox10.mouse	HMG
Sox10.mouse_HMG_3	Sox10.mouse	HMG
Sox11.mouse_HMG_1	Sox11.mouse	HMG
Sox17.mouse_HMG_1	Sox17.mouse	HMG
Sox17.mouse_HMG_2	Sox17.mouse	HMG
Sox1.mouse_HMG_1	Sox1.mouse	HMG
Sox1.mouse_HMG_2	Sox1.mouse	HMG
Sox1.mouse_HMG_3	Sox1.mouse	HMG
Sox1.mouse_HMG_4	Sox1.mouse	HMG
Sox3.mouse_HMG_1	Sox3.mouse	HMG
Sox3.mouse_HMG_2	Sox3.mouse	HMG
Sox3.mouse_HMG_3	Sox3.mouse	HMG
TBX20_TBX_5	TBX20	TBX
MSC_bHLH_1	MSC	bHLH
TFEC_bHLH_1	TFEC	bHLH
CREB3L1_bZIP_4	CREB3L1	bZIP
NR2F1_nuclearreceptor_4	NR2F1	nuclearreceptor
RARB_nuclearreceptor_1	RARB	nuclearreceptor
RXRG_nuclearreceptor_4	RXRG	nuclearreceptor
Bhlhb2.mouse_bHLH_2	Bhlhb2.mouse	bHLH
E2F1_E2F_3	E2F1	E2F
E2F1_E2F_4	E2F1	E2F
RFX5_RFX_3	RFX5	RFX
YY2_C2H2_3	YY2	C2H2
EGR4_C2H2_2	EGR4	C2H2
NFIA_NFI_2	NFIA	NFI
NFIX_NFI_2	NFIX	NFI
NFIX_NFI_3	NFIX	NFI
NFIX_NFI_4	NFIX	NFI
TFAP2A_AP2_4	TFAP2A	AP2
TFAP2A_AP2_5	TFAP2A	AP2
TFAP2A_AP2_6	TFAP2A	AP2
HES5_bHLH_2	HES5	bHLH
ESRRA_nuclearreceptor_4	ESRRA	nuclearreceptor
ESRRA_nuclearreceptor_5	ESRRA	nuclearreceptor
ESRRA_nuclearreceptor_6	ESRRA	nuclearreceptor
CREB3L1_bZIP_5	CREB3L1	bZIP
CREB3L1_bZIP_6	CREB3L1	bZIP
ELK1_ETS_4	ELK1	ETS
HOXD12_homeodomain_3	HOXD12	homeodomain
HOXD12_homeodomain_4	HOXD12	homeodomain
